Boardname;BigSmall Trial Count;OneFirst Trial count
board_6_8_1_1.txt;13039;860
board_6_8_1_2.txt;560;44
board_6_8_1_3.txt;2927;804
board_6_8_1_4.txt;39;2511
board_6_8_1_5.txt;16713;4964
board_6_8_1_6.txt;7709;1129
board_6_8_1_7.txt;13600;4006
board_6_8_1_8.txt;3096;1534
board_6_8_1_9.txt;1667;284
board_6_8_1_10.txt;42561;509
board_6_8_1_11.txt;25247;702
board_6_8_1_12.txt;25357;3367
board_6_8_1_13.txt;1247;163
board_6_8_1_14.txt;12266;717
board_6_8_1_15.txt;18049;630
board_6_8_1_16.txt;179;1339
board_6_8_1_17.txt;6614;1327
board_6_8_1_18.txt;15850;835
board_6_8_1_19.txt;11417;102
board_6_8_1_20.txt;13836;120
board_6_8_1_21.txt;20065;1230
board_6_8_1_22.txt;15832;2896
board_6_8_1_23.txt;870;231
board_6_8_1_24.txt;32523;6400
board_6_8_1_25.txt;13;387
board_6_8_1_26.txt;594;192
board_6_8_1_27.txt;21915;215
board_6_8_1_28.txt;17947;603
board_6_8_1_29.txt;2203;421
board_6_8_1_30.txt;20;6
board_6_8_1_31.txt;32756;3606
board_6_8_1_32.txt;16;758
board_6_8_1_33.txt;20580;592
board_6_8_1_34.txt;6820;2146
board_6_8_1_35.txt;11250;517
board_6_8_1_36.txt;15;253
board_6_8_1_37.txt;7963;979
board_6_8_1_38.txt;8350;2017
board_6_8_1_39.txt;5739;224
board_6_8_1_40.txt;3546;304
board_6_8_1_41.txt;921;576
board_6_8_1_42.txt;9133;1646
board_6_8_1_43.txt;17199;692
board_6_8_1_44.txt;21345;652
board_6_8_1_45.txt;26919;156
board_6_8_1_46.txt;3187;1108
board_6_8_1_47.txt;189;51
board_6_8_1_48.txt;147;6
board_6_8_1_49.txt;17533;817
board_6_8_1_50.txt;493;161
board_6_8_2_1.txt;6;783
board_6_8_2_2.txt;5214;707
board_6_8_2_3.txt;5066;1859
board_6_8_2_4.txt;4551;1045
board_6_8_2_5.txt;20825;59
board_6_8_2_6.txt;26131;2242
board_6_8_2_7.txt;346;333
board_6_8_2_8.txt;9820;189
board_6_8_2_9.txt;974;127
board_6_8_2_10.txt;16155;475
board_6_8_2_11.txt;640;600
board_6_8_2_12.txt;287;48
board_6_8_2_13.txt;35871;2809
board_6_8_2_14.txt;12272;2574
board_6_8_2_15.txt;40821;5676
board_6_8_2_16.txt;32344;215
board_6_8_2_17.txt;17875;168
board_6_8_2_18.txt;14833;1383
board_6_8_2_19.txt;3698;497
board_6_8_2_20.txt;3343;887
board_6_8_2_21.txt;41598;63
board_6_8_2_22.txt;32035;4499
board_6_8_2_23.txt;4074;1218
board_6_8_2_24.txt;25602;190
board_6_8_2_25.txt;11728;1659
board_6_8_2_26.txt;21074;507
board_6_8_2_27.txt;48;740
board_6_8_2_28.txt;1303;116
board_6_8_2_29.txt;17758;1616
board_6_8_2_30.txt;8;8
board_6_8_2_31.txt;28076;4512
board_6_8_2_32.txt;7789;2742
board_6_8_2_33.txt;33032;988
board_6_8_2_34.txt;32703;194
board_6_8_2_35.txt;1058;401
board_6_8_2_36.txt;19493;4438
board_6_8_2_37.txt;8;8
board_6_8_2_38.txt;11042;1617
board_6_8_2_39.txt;21305;751
board_6_8_2_40.txt;13586;65
board_6_8_3_1.txt;11081;2032
board_6_8_3_2.txt;6341;382
board_6_8_3_3.txt;27640;2525
board_6_8_3_4.txt;9887;3612
board_6_8_3_5.txt;222;85
board_6_8_3_6.txt;66;53
board_6_8_3_7.txt;15221;1867
board_6_8_3_8.txt;18943;149
board_6_8_3_9.txt;7315;3111
board_6_8_3_10.txt;8855;523
board_6_8_3_11.txt;4667;566
board_6_8_3_12.txt;39394;4841
board_6_8_3_13.txt;39880;4639
board_6_8_3_14.txt;51497;6702
board_6_8_3_15.txt;16062;2273
board_6_8_3_16.txt;1773;176
board_6_8_3_17.txt;10612;1444
board_6_8_3_18.txt;88;27
board_6_8_3_19.txt;22;6
board_6_8_3_20.txt;14966;5321
board_6_8_4_1.txt;7286;2728
board_6_8_4_2.txt;9194;2551
board_6_8_4_3.txt;23433;7821
board_6_8_4_4.txt;7275;2287
board_6_8_4_5.txt;4897;2180
board_6_8_4_6.txt;44429;8445
board_6_8_4_7.txt;13;8
board_6_8_4_8.txt;16707;3453
board_6_8_4_9.txt;15416;5576
board_6_8_4_10.txt;14872;2855
