Board,NumMoves
"[[1 1 1 1 0 1 1 0]
 [1 1 1 1 0 0 1 0]
 [1 1 1 1 0 1 1 1]
 [1 1 1 1 0 1 1 1]
 [0 0 0 0 1 1 1 1]
 [0 1 0 0 0 0 1 0]
 [0 1 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0]]",33
"[[1 1 1 1 1 1 0 0]
 [0 1 1 0 1 1 1 1]
 [0 0 1 1 0 1 1 1]
 [1 1 1 1 1 1 1 0]
 [1 1 1 1 1 1 1 1]
 [1 1 1 0 1 1 1 1]
 [1 1 0 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]]",54
"[[1 1 0 0 0 0 0 0]
 [1 1 0 1 1 1 1 0]
 [0 1 0 1 1 1 0 0]
 [1 1 0 0 0 0 1 0]
 [1 1 0 1 1 1 0 0]
 [0 0 1 1 1 1 1 0]
 [1 1 1 0 0 1 1 0]
 [0 1 1 0 0 0 0 0]]",32
"[[1 1 1 1 1 1 0 1]
 [1 1 1 1 1 1 1 1]
 [1 1 0 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 0 0]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 0 1 1 0 0]]",57
"[[1 1 1 0 0 0 1 0]
 [1 1 1 1 1 0 0 0]
 [1 1 1 0 0 0 0 0]
 [1 1 1 0 0 1 0 0]
 [1 1 1 0 0 0 0 0]
 [1 1 1 1 0 1 0 0]
 [1 1 1 0 0 1 0 0]
 [1 1 1 1 0 0 0 0]]",32
"[[1 0 0 0 0 0 1 0]
 [1 1 0 1 1 1 1 0]
 [1 0 1 1 1 1 1 0]
 [1 1 0 1 1 1 1 1]
 [1 0 0 1 1 1 1 0]
 [1 0 0 0 0 0 0 0]
 [1 1 0 0 0 1 0 0]
 [1 0 1 0 0 0 0 0]]",32
"[[1 0 0 0 0 0 0 0]
 [1 1 0 0 0 0 0 0]
 [1 1 1 0 0 1 1 0]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 0 0 1 1 1 1 1]
 [1 0 1 0 0 0 0 0]]",40
"[[1 1 1 1 1 1 0 0]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 0]
 [1 1 1 1 0 0 0 0]]",57
"[[1 1 1 1 1 1 1 0]
 [1 1 1 1 1 1 1 0]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 0]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 1 1]
 [1 1 1 1 1 0 1 1]]",59
"[[1 1 1 1 1 1 1 0]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 0 1 1]
 [1 1 1 1 1 1 1 0]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 1 0]]",59
